country,region,year,pop_total,pop_growth,avg_temp_c,avg_temp_f
France,Europe & Central Asia,2006,63621381,0.697207001264929,11.788499999999997,53.219300000000004
France,Europe & Central Asia,2007,64016225,0.618697375923742,11.750833333333338,53.151500000000006
France,Europe & Central Asia,2008,64374984,0.558854358516408,11.278249999999998,52.30085
France,Europe & Central Asia,2009,64707040,0.514489503911642,11.464083333333335,52.63535000000001
France,Europe & Central Asia,2010,65027507,0.494035951436993,10.409833333333333,50.7377
France,Europe & Central Asia,2011,65342780,0.483658695308374,12.325750000000001,54.186350000000004
France,Europe & Central Asia,2012,65659809,0.484005119770168,11.219916666666668,52.19585
France,Europe & Central Asia,2013,65998687,0.514784474469256,11.011625,51.820924999999995
United Kingdom,Europe & Central Asia,2000,58892514,0.357300887421605,10.519166666666667,50.93450000000001
United Kingdom,Europe & Central Asia,2001,59119673,0.384975969564228,10.180416666666668,50.32475
United Kingdom,Europe & Central Asia,2002,59370479,0.423337079636281,10.91141666666667,51.64055
United Kingdom,Europe & Central Asia,2003,59647577,0.465641113602993,10.809416666666666,51.456950000000006
United Kingdom,Europe & Central Asia,2004,59987905,0.568943113421317,10.767833333333334,51.3821
United Kingdom,Europe & Central Asia,2005,60401206,0.68661130607346,10.630333333333335,51.134600000000006
United Kingdom,Europe & Central Asia,2006,60846820,0.73504867842129,11.09675,51.97415
United Kingdom,Europe & Central Asia,2007,61322463,0.778666112441256,10.834416666666668,51.501949999999994
United Kingdom,Europe & Central Asia,2008,61806995,0.787032622318939,10.377583333333336,50.67965
United Kingdom,Europe & Central Asia,2009,62276270,0.756390859593407,10.523499999999999,50.942299999999996
United Kingdom,Europe & Central Asia,2010,62766365,0.783888646646516,9.3755,48.8759
United Kingdom,Europe & Central Asia,2011,63258810,0.781506562236639,11.193583333333335,52.148450000000004
United Kingdom,Europe & Central Asia,2012,63700215,0.695353132322269,9.997583333333335,49.995650000000005
United Kingdom,Europe & Central Asia,2013,64128273,0.669740535540783,9.907250000000001,49.83305
Indonesia,East Asia & Pacific,2000,211513823,1.37990952810109,27.32066666666667,81.17719999999998
Indonesia,East Asia & Pacific,2001,214427417,1.36809454948316,27.325874999999996,81.18657499999999
Indonesia,East Asia & Pacific,2002,217357793,1.35735125849306,27.556750000000005,81.60215000000001
Indonesia,East Asia & Pacific,2003,220309469,1.34884237770367,27.602499999999996,81.6845
Indonesia,East Asia & Pacific,2004,223285676,1.34187747195645,27.555458333333334,81.599825
Indonesia,East Asia & Pacific,2005,226289470,1.33630105025304,27.49445833333333,81.49002499999999
Indonesia,East Asia & Pacific,2006,229318262,1.32958086789066,27.471208333333333,81.44817499999999
Indonesia,East Asia & Pacific,2007,232374245,1.32383678952419,27.34654166666667,81.223775
Indonesia,East Asia & Pacific,2008,235469762,1.32333090841565,27.155625,80.88012499999998
Indonesia,East Asia & Pacific,2009,238620563,1.32921817829008,27.498708333333337,81.497675
Indonesia,East Asia & Pacific,2010,241834215,1.33777415662772,27.396208333333337,81.313175
Indonesia,East Asia & Pacific,2011,245116206,1.34799788882488,27.216708333333333,80.990075
Indonesia,East Asia & Pacific,2012,248452413,1.35189219176242,27.420708333333337,81.35727500000003
Indonesia,East Asia & Pacific,2013,251806402,1.34092160105636,27.334874999999997,81.202775
India,South Asia,2000,1056575549,1.76812541234731,26.43346428571429,79.58023571428573
India,South Asia,2001,1075000085,1.7287676376721,26.440124999999995,79.59222499999997
India,South Asia,2002,1093317189,1.68956268109949,26.924029761904773,80.46325357142851
India,South Asia,2003,1111523144,1.65149090571384,26.59692261904762,79.87446071428575
India,South Asia,2004,1129623456,1.61530758962511,26.584357142857122,79.85184285714286
India,South Asia,2005,1147609927,1.57971029004446,26.367458333333357,79.461425
India,South Asia,2006,1165486291,1.54569617765161,26.66477380952381,79.99659285714286
India,South Asia,2007,1183209472,1.50922207007344,26.602214285714272,79.88398571428573
India,South Asia,2008,1200669765,1.46489008016823,26.30471428571428,79.34848571428573
India,South Asia,2009,1217726215,1.41058229969824,27.07802976190474,80.74045357142856
India,South Asia,2010,1234281170,1.35033904507757,26.984166666666667,80.57150000000003
India,South Asia,2011,1250288729,1.28857558007871,26.314190476190475,79.36554285714286
India,South Asia,2012,1265782790,1.23162292802113,26.575880952380956,79.83658571428573
India,South Asia,2013,1280846129,1.18301607012995,27.176232142857142,80.91721785714283
Iraq,Middle East & North Africa,2000,23497585,3.00465917329588,23.89633333333333,75.0134
Iraq,Middle East & North Africa,2001,24208180,2.97929426649658,24.445916666666665,76.00265
Iraq,Middle East & North Africa,2002,24931919,2.94582775276409,23.764749999999996,74.77654999999999
Iraq,Middle East & North Africa,2003,25644499,2.81802145739874,23.880000000000006,74.984
Iraq,Middle East & North Africa,2004,26313838,2.57658758275814,23.721499999999995,74.6987
Iraq,Middle East & North Africa,2005,26922284,2.28593846535902,23.57833333333333,74.44099999999999
Iraq,Middle East & North Africa,2006,27448124,1.93434780196377,23.81625,74.86925000000001
Iraq,Middle East & North Africa,2007,27911248,1.67319385251091,23.924750000000003,75.06454999999998
Iraq,Middle East & North Africa,2008,28385746,1.68573560596418,24.0895,75.36110000000001
Iraq,Middle East & North Africa,2009,28973162,2.04828354549334,23.86733333333333,74.9612
