iso,country,year,co2,methane,nitrous_oxide,total_ghg,avg_temp_c,avg_temp_f
DOM,Dominican Republic,2012,21.494,8.78,2.97,25.41,26.839416666666665,80.31095
DOM,Dominican Republic,2013,21.05,8.86,3.01,25.25,26.884,80.3912
EGY,Egypt,2000,140.34799999999998,48.39,18.42,180.36,21.238944444444442,70.23010000000001
EGY,Egypt,2001,124.29299999999999,48.26,18.71,192.78,22.038749999999997,71.66975000000002
EGY,Egypt,2002,125.781,49.65,18.91,197.2,22.09477777777777,71.7706
EGY,Egypt,2003,146.46200000000002,49.97,22.35,204.5,21.85413888888889,71.33745000000002
EGY,Egypt,2004,149.144,50.5,21.01,215.21,21.74266666666667,71.13680000000001
EGY,Egypt,2005,165.042,50.7,21.79,234.14,21.698444444444444,71.05720000000002
EGY,Egypt,2006,176.02,52.15,20.03,243.29,21.749388888888895,71.1489
EGY,Egypt,2007,185.905,53.7,21.46,259.48,22.07658333333334,71.73785
EGY,Egypt,2008,195.285,54.75,25.21,271.34,22.342666666666673,72.21679999999999
EGY,Egypt,2009,202.71,53.6,23.33,274.87,22.30683333333333,72.15229999999998
EGY,Egypt,2010,198.808,53.53,25.26,277.42,23.29869444444444,73.93764999999999
EGY,Egypt,2011,211.037,55.07,24.54,283.9,21.718444444444444,71.0932
EGY,Egypt,2012,210.355,56.0,23.54,294.69,22.173694444444447,71.91265
EGY,Egypt,2013,206.868,55.67,23.71,292.44,22.417500000000004,72.3515
ETH,Ethiopia,2000,3.464,56.93,27.05,111.27,18.24125,64.83425
ETH,Ethiopia,2001,4.263,60.15,28.18,122.34,18.29641666666667,64.93355
ETH,Ethiopia,2002,4.43,68.11,32.49,141.71,18.46975,65.24555
ETH,Ethiopia,2003,4.871,65.97,30.75,136.7,18.320916666666665,64.97765
ETH,Ethiopia,2004,5.159,66.85,31.69,138.17,18.292749999999998,64.92695
ETH,Ethiopia,2005,4.955,67.32,33.17,132.56,18.31283333333333,64.96309999999998
ETH,Ethiopia,2006,5.317,72.11,34.69,144.58,18.427083333333332,65.16874999999999
ETH,Ethiopia,2007,5.8389999999999995,75.96,38.36,144.73,18.142583333333334,64.65665
ETH,Ethiopia,2008,6.416,80.32,39.44,157.42,18.165,64.697
ETH,Ethiopia,2009,6.455,82.85,41.34,160.68,18.765333333333334,65.7776
ETH,Ethiopia,2010,6.337000000000001,85.97,43.16,164.86,18.29825,64.93685
ETH,Ethiopia,2011,7.402,86.66,43.09,150.38,18.606749999999998,65.49215
ETH,Ethiopia,2012,8.11,92.71,45.65,166.22,18.448583333333332,65.20745
ETH,Ethiopia,2013,9.781,97.28,46.8,177.13,19.539,67.1702
FRA,France,2000,416.26599999999996,75.38,49.27,474.74,11.739666666666666,53.13139999999999
FRA,France,2001,420.848,75.18,50.17,425.19,11.371250000000002,52.46824999999999
FRA,France,2002,415.838,73.05,47.84,417.55,11.871333333333332,53.36840000000001
FRA,France,2003,422.64099999999996,71.71,47.86,422.77,11.9095,53.43710000000001
FRA,France,2004,423.631,70.24,45.29,419.89,11.338833333333332,52.4099
FRA,France,2005,426.779,69.03,44.04,420.5,11.552916666666668,52.79525000000001
FRA,France,2006,416.004,67.98,43.16,434.96,11.788499999999997,53.219300000000004
FRA,France,2007,405.194,67.91,44.04,428.16,11.750833333333338,53.151500000000006
FRA,France,2008,397.725,67.79,42.13,422.46,11.278249999999998,52.30085
FRA,France,2009,381.599,66.4,39.69,405.18,11.464083333333335,52.63535000000001
FRA,France,2010,389.38599999999997,66.03,38.64,409.04,10.409833333333333,50.7377
FRA,France,2011,362.504,64.01,36.67,353.48,12.325750000000001,54.186350000000004
FRA,France,2012,363.809,63.24,37.32,356.76,11.219916666666668,52.19585
FRA,France,2013,365.83099999999996,62.73,38.32,357.6,11.011625,51.820924999999995
DEU,Germany,2000,899.78,94.11,43.24,922.88,10.963666666666668,51.7346
DEU,Germany,2001,916.3660000000001,89.1,44.94,970.63,9.69025,49.44245
DEU,Germany,2002,899.821,84.88,44.47,952.16,10.264416666666667,50.475950000000005
DEU,Germany,2003,900.8660000000001,80.52,44.22,951.08,10.06575,50.11835
DEU,Germany,2004,886.966,74.53,45.57,931.26,9.822583333333332,49.68064999999999
DEU,Germany,2005,866.3889999999999,70.65,43.62,906.56,9.919083333333333,49.854350000000004
DEU,Germany,2006,877.997,66.72,41.99,918.19,10.545333333333334,50.98160000000001
DEU,Germany,2007,851.383,64.32,45.81,888.29,10.883166666666668,51.58969999999999
DEU,Germany,2008,854.706,63.53,43.66,892.66,10.65775,51.18395
DEU,Germany,2009,790.196,60.91,43.88,834.12,10.0625,50.112500000000004
DEU,Germany,2010,832.67,59.92,36.99,864.72,8.606833333333332,47.49230000000001
DEU,Germany,2011,809.427,58.7,35.65,812.51,10.556416666666665,51.00155000000001
DEU,Germany,2012,813.893,59.22,35.54,826.22,9.964333333333332,49.9358
DEU,Germany,2013,831.316,58.31,36.12,844.05,10.121500000000001,50.2187
IND,India,2000,978.427,590.34,181.23,1664.02,26.43346428571429,79.58023571428573
IND,India,2001,992.529,596.18,185.54,1569.36,26.440124999999995,79.59222499999997
IND,India,2002,1022.8489999999999,590.23,179.42,1591.5,26.924029761904773,80.46325357142851
IND,India,2003,1059.4160000000002,602.11,187.82,1634.28,26.59692261904762,79.87446071428575
IND,India,2004,1125.264,612.75,195.16,1728.85,26.584357142857122,79.85184285714286
IND,India,2005,1185.761,624.7,203.58,1803.32,26.367458333333357,79.461425
IND,India,2006,1259.522,634.47,213.04,1936.95,26.66477380952381,79.99659285714286
IND,India,2007,1357.9160000000002,648.74,222.64,2078.82,26.602214285714272,79.88398571428573
IND,India,2008,1462.5739999999998,654.17,226.14,2170.72,26.30471428571428,79.34848571428573
IND,India,2009,1612.515,655.71,233.53,2355.66,27.07802976190474,80.74045357142856
IND,India,2010,1678.479,660.79,241.06,2457.76,26.984166666666667,80.57150000000003
IND,India,2011,1766.065,659.73,246.73,2800.43,26.314190476190475,79.36554285714286
IND,India,2012,1941.3129999999999,661.57,246.24,2943.69,26.575880952380956,79.83658571428573
IND,India,2013,2033.412,660.15,244.22,2994.46,27.176232142857142,80.91721785714283
IDN,Indonesia,2000,265.803,329.66,66.74,1406.68,27.32066666666667,81.17719999999998
IDN,Indonesia,2001,297.53,322.25,67.11,1663.98,27.325874999999996,81.18657499999999
IDN,Indonesia,2002,307.361,444.97,86.57,2199.08,27.556750000000005,81.60215000000001
IDN,Indonesia,2003,316.655,339.24,74.15,1822.69,27.602499999999996,81.6845
IDN,Indonesia,2004,339.848,427.12,88.79,2205.43,27.555458333333334,81.599825
IDN,Indonesia,2005,343.336,346.07,79.63,1912.93,27.49445833333333,81.49002499999999
IDN,Indonesia,2006,346.44300000000004,448.35,96.8,2681.88,27.471208333333333,81.44817499999999
IDN,Indonesia,2007,376.865,285.58,77.05,2057.19,27.34654166666667,81.223775
IDN,Indonesia,2008,417.56199999999995,277.19,79.08,2043.34,27.155625,80.88012499999998
IDN,Indonesia,2009,447.099,374.97,96.05,2475.02,27.498708333333337,81.497675
IDN,Indonesia,2010,428.17400000000004,267.97,82.26,2049.35,27.396208333333337,81.313175
IDN,Indonesia,2011,508.07300000000004,308.07,91.18,2276.71,27.216708333333333,80.990075
IDN,Indonesia,2012,526.383,308.04,94.06,2319.98,27.420708333333337,81.35727500000003
IDN,Indonesia,2013,411.191,302.42,91.07,2294.46,27.334874999999997,81.202775
IRN,Iran,2000,369.26300000000003,90.72,32.27,466.63,14.154416666666668,57.47795
IRN,Iran,2001,394.931,96.61,32.8,480.14,14.64241666666667,58.35635000000001
IRN,Iran,2002,397.798,102.34,34.02,504.89,14.258833333333333,57.6659
IRN,Iran,2003,413.99300000000005,108.61,34.96,534.12,13.541333333333332,56.37440000000001
IRN,Iran,2004,442.09,115.02,36.36,571.07,14.301499999999999,57.742700000000006
IRN,Iran,2005,463.53,121.49,37.13,609.88,14.048749999999998,57.28774999999999
IRN,Iran,2006,503.791,127.56,39.31,658.38,14.607250000000002,58.293050000000015
IRN,Iran,2007,513.314,133.58,38.45,696.8,13.735833333333334,56.7245
IRN,Iran,2008,534.91,136.94,37.93,710.22,13.718416666666668,56.69315000000001
IRN,Iran,2009,546.885,143.23,38.24,734.52,14.117999999999997,57.4124
IRN,Iran,2010,564.035,149.59,38.36,740.76,15.211916666666667,59.38145000000002
IRN,Iran,2011,579.04,147.51,35.74,817.82,13.928583333333334,57.07145
IRN,Iran,2012,600.684,146.6,36.86,825.98,13.565999999999997,56.4188
IRN,Iran,2013,608.71,145.35,36.92,846.81,15.938500000000001,60.68929999999999
IRQ,Iraq,2000,71.715,11.06,4.27,89.67,23.89633333333333,75.0134
IRQ,Iraq,2001,84.556,11.17,5.91,101.24,24.445916666666665,76.00265
IRQ,Iraq,2002,86.321,11.43,3.09,93.79,23.764749999999996,74.77654999999999
IRQ,Iraq,2003,90.787,10.86,2.92,85.8,23.880000000000006,74.984
IRQ,Iraq,2004,113.635,11.27,3.49,90.07,23.721499999999995,74.6987
IRQ,Iraq,2005,112.98,11.88,4.05,104.21,23.57833333333333,74.44099999999999
IRQ,Iraq,2006,98.181,12.28,4.03,99.7,23.81625,74.86925000000001
IRQ,Iraq,2007,61.492,12.74,3.98,93.94,23.924750000000003,75.06454999999998
IRQ,Iraq,2008,92.167,13.14,4.36,103.3,24.0895,75.36110000000001
IRQ,Iraq,2009,103.48899999999999,14.06,5.03,126.53,23.86733333333333,74.9612
IRQ,Iraq,2010,110.985,14.46,4.97,140.2,25.493916666666667,77.88905000000001
IRQ,Iraq,2011,135.274,15.05,5.23,151.65,23.4375,74.1875
IRQ,Iraq,2012,152.815,15.6,5.47,173.61,24.344833333333337,75.8207
IRQ,Iraq,2013,163.67700000000002,15.75,5.57,184.76,25.142875,77.25717499999999
ITA,Italy,2000,468.44199999999995,53.87,28.87,472.22,13.42425,56.16365
ITA,Italy,2001,468.64300000000003,51.95,27.72,469.3,13.225249999999997,55.80545
ITA,Italy,2002,476.251,52.05,28.19,477.71,13.135666666666665,55.64420000000001
ITA,Italy,2003,494.18300000000005,51.51,27.84,495.79,13.618833333333333,56.51390000000001
ITA,Italy,2004,499.619,50.27,29.0,506.07,12.753916666666667,54.95705
ITA,Italy,2005,500.006,50.2,27.92,507.32,12.159999999999998,53.888000000000005
ITA,Italy,2006,495.124,49.2,22.93,495.92,12.869750000000002,55.16555
ITA,Italy,2007,487.69300000000004,49.28,22.6,488.7,13.318083333333332,55.972550000000005
ITA,Italy,2008,476.23,49.37,21.05,475.47,13.010916666666667,55.41965000000001
ITA,Italy,2009,422.624,49.17,19.5,429.39,13.280166666666668,55.904300000000006
ITA,Italy,2010,433.68800000000005,49.28,18.91,437.79,12.628500000000003,54.731300000000005
ITA,Italy,2011,422.039,47.12,17.91,427.74,13.463166666666666,56.2337
ITA,Italy,2012,401.555,48.01,18.58,412.41,13.454166666666667,56.21750000000001
ITA,Italy,2013,367.569,45.96,18.38,381.69,13.602749999999999,56.484950000000005
JPN,Japan,2000,1264.844,30.13,26.1,1174.85,14.58475,58.252549999999985
JPN,Japan,2001,1250.211,28.88,22.83,1189.35,14.299750000000003,57.73955000000001
JPN,Japan,2002,1279.453,28.08,22.5,1225.23,14.576041666666667,58.236875
JPN,Japan,2003,1287.642,27.6,22.29,1231.65,14.118791666666667,57.413825
JPN,Japan,2004,1282.872,27.47,22.56,1219.1,15.186125000000002,59.335025
JPN,Japan,2005,1290.056,27.15,22.13,1224.8,14.174958333333334,57.514925
JPN,Japan,2006,1266.829,26.78,21.97,1103.33,14.363208333333333,57.85377500000001
JPN,Japan,2007,1302.524,26.42,20.95,1144.4,14.80954166666667,58.657174999999995
JPN,Japan,2008,1231.91,25.77,20.69,1065.32,14.440875,57.993574999999986
JPN,Japan,2009,1162.6480000000001,25.28,20.23,1002.88,14.606625,58.291924999999985
JPN,Japan,2010,1214.069,24.96,19.61,1055.53,14.846708333333332,58.724075000000006
JPN,Japan,2011,1264.155,23.8,18.82,1261.05,14.378208333333335,57.88077499999999
JPN,Japan,2012,1305.433,23.44,18.17,1308.39,14.161041666666668,57.48987499999999
JPN,Japan,2013,1314.703,23.16,18.74,1335.18,14.966437500000003,58.939587499999995
KEN,Kenya,2000,10.302,21.5,9.94,98.34,16.734583333333337,62.12224999999999
KEN,Kenya,2001,9.236,21.36,10.03,-8.23,16.096833333333333,60.9743
KEN,Kenya,2002,7.82,22.12,10.37,-7.25,16.613833333333332,61.904900000000005
KEN,Kenya,2003,6.586,23.29,11.1,-6.03,16.873833333333334,62.37290000000001
KEN,Kenya,2004,7.438,24.41,11.57,-3.73,16.917749999999998,62.451950000000004
KEN,Kenya,2005,8.339,23.96,11.55,-3.12,17.281916666666664,63.10745000000001
KEN,Kenya,2006,9.337,23.98,11.15,15.1,16.92475,62.46455
KEN,Kenya,2007,9.54,34.76,16.94,31.14,16.599416666666666,61.878949999999996
KEN,Kenya,2008,9.912,35.7,16.96,33.6,16.659166666666664,61.98650000000001
KEN,Kenya,2009,11.968,34.59,16.42,33.32,17.301833333333335,63.14329999999998
KEN,Kenya,2010,11.745999999999999,34.78,16.6,34.04,16.822333333333336,62.2802
KEN,Kenya,2011,12.927999999999999,36.21,17.3,36.77,16.897000000000002,62.4146
KEN,Kenya,2012,11.987,37.15,17.48,38.64,16.838,62.3084
KEN,Kenya,2013,12.77,36.22,17.13,36.84,16.909374999999997,62.436875
MEX,Mexico,2000,396.066,109.03,38.31,556.17,16.113916666666665,61.005050000000004
MEX,Mexico,2001,410.69800000000004,105.51,37.62,550.63,15.978833333333334,60.7619
MEX,Mexico,2002,411.968,107.35,35.22,557.0,16.37,61.466
MEX,Mexico,2003,437.75800000000004,114.02,37.11,584.26,16.651083333333332,61.97195
MEX,Mexico,2004,438.85699999999997,107.39,35.16,583.84,16.20441666666667,61.16794999999999
MEX,Mexico,2005,463.99300000000005,112.54,38.3,611.1,16.702666666666666,62.0648
MEX,Mexico,2006,476.565,115.83,37.31,626.78,16.373499999999996,61.4723
MEX,Mexico,2007,479.787,121.97,38.02,648.26,16.378083333333333,61.480549999999994
MEX,Mexico,2008,492.98,137.28,37.36,678.72,16.21941666666667,61.19495
MEX,Mexico,2009,475.903,135.71,37.75,662.87,16.653666666666666,61.9766
MEX,Mexico,2010,463.783,130.23,37.78,665.54,15.873083333333334,60.571549999999995
MEX,Mexico,2011,484.165,134.84,40.16,681.94,16.639166666666664,61.950499999999984
MEX,Mexico,2012,496.3,125.01,40.33,672.08,16.426499999999997,61.567699999999995
MEX,Mexico,2013,490.13,126.2,44.67,667.84,17.342444444444443,63.21639999999999
MAR,Morocco,2000,33.61,12.03,7.06,43.72,18.163666666666668,64.6946
MAR,Morocco,2001,37.452,12.17,7.17,46.84,18.727333333333334,65.7092
MAR,Morocco,2002,38.107,12.27,7.48,48.59,18.245916666666666,64.84265
MAR,Morocco,2003,37.532,12.55,7.51,48.93,18.399083333333337,65.11835
MAR,Morocco,2004,43.398999999999994,12.85,7.79,53.46,18.071583333333333,64.52885
MAR,Morocco,2005,45.568999999999996,13.02,8.17,56.32,18.182083333333335,64.72775
MAR,Morocco,2006,47.43899999999999,13.43,8.57,69.13,18.37908333333333,65.08235
MAR,Morocco,2007,50.288999999999994,13.65,8.03,70.35,17.934916666666666,64.28285
MAR,Morocco,2008,52.916000000000004,14.03,8.14,73.38,17.80025,64.04045
MAR,Morocco,2009,52.648,14.33,8.03,74.0,18.561333333333334,65.4104
MAR,Morocco,2010,56.27,14.82,8.2,77.76,18.82525,65.88544999999999
MAR,Morocco,2011,56.711999999999996,15.46,8.57,80.75,18.533083333333334,65.35955
